Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Unified Modelling of Infrastructure Asset Performance Deterioration - a bounded gamma process approach","The proposed bounded transformed gamma process (BTGP) model is a flexible and significant alternative for infrastructure asset management systems, addressing the need for a unified deterioration model.","Wang Chen, Arnold X.-X. Yuan",2025,1,"Infrastructure asset management systems require a flexible deterioration model that can handle various degradation patterns in a unified way. Owing to its appealing monotonic sample paths, independent increments and mathematical tractability, gamma process has been widely employed as an infrastructure performance deterioration model. This model was recently enhanced by introducing an upper bound to satisfy a practical modelling need that many infrastructure performance deterioration processes are constrained by physical or managerial limits. Several bounded transformed gamma process (BTGP) alternatives had been proposed; however, they lacked due flexibility to characterize different deterioration patterns. This paper proposed a new BTGP model that is deeply grounded upon the traditional regression modelling tradition in infrastructure asset management systems. Qualitative and quantitative comparisons were carried out between the proposed BTGP and a bounded nonstationary gamma process (BNGP) model from both deterioration modelling and asset management decision-making perspectives. An empirical study using the real-world historical bridge condition data was performed to examine the flexibility of the BTGP against the BNGP and six other BTGP alternatives. The results confirmed the flexibility and significance of the proposed BTGP model for infrastructure systems.","","ArXiv","1","10.48550/arxiv.2508.13359","https://consensus.app/papers/unified-modelling-of-infrastructure-asset-performance-chen-yuan/9e3ebf80819b5049b1edb8233d41b3a2/"
"Understanding Infrastructure Drift in Federated Learning Systems","Infrastructure drift in Federated Learning systems can reduce system performance and model accuracy due to human input, poor configuration, or applications making unwanted changes.","Shashank Rana, Vimarsh Shah, Aishwarya Jayashankar, Ayush Bhardwaj, Arnab K. Paul",2024,0,"In traditional distributed machine learning (ML) systems, infrastructure drift refers to the deviation of underlying computational resources and network conditions over time, leading to reduced system performance and model accuracy. Infrastructure drift can arise from human input, poor configuration, or applications making unwanted changes. As ML systems evolve into a decentralized framework with the need to keep data private, Federated Learning (FL) systems have risen.","","2024 IEEE 31st International Conference on High Performance Computing, Data and Analytics Workshop (HiPCW)","","10.1109/hipcw63042.2024.00063","https://consensus.app/papers/understanding-infrastructure-drift-in-federated-rana-shah/e411806095d15a638e67fd1f640ef80c/"
"Railway Track Deterioration Models: A Review of the State of the Art","This paper presents a systematic taxonomy of railway track deterioration models, aiming to classify them based on detail and functionality, to inform infrastructure managers for whole-life asset management.","Georgios Rempelos, Giacomo Ognibene, L. Le Pen, S. Blainey, John Preston, William Powrie",2024,7,"","systematic review","Transportation Geotechnics","1","10.1016/j.trgeo.2024.101377","https://consensus.app/papers/railway-track-deterioration-models-a-review-of-the-state-of-rempelos-ognibene/0472337dbe5d56dc8fbea673a2bf4264/"
"Consequences of permafrost degradation for Arctic infrastructure – bridging the model gap between regional and engineering scales","Arctic infrastructure built on permafrost faces a risk of failure due to increased heat flux, lateral destabilization, and snow accumulation, highlighting the need for climate warming considerations in planning and construction.","Thomas Schneider von Deimling, Hanna Lee, T. Ingeman‐Nielsen, S. Westermann, V. Romanovsky, S. Lamoureux, D. Walker, S. Chadburn, E. Trochim, L. Cai, J. Nitzbon, S. Jacobi, M. Langer",2020,69,"Abstract. Infrastructure built on perennially frozen ice-rich
ground relies heavily on thermally stable subsurface conditions. Climate-warming-induced deepening of ground thaw puts such infrastructure at risk of
failure. For better assessing the risk of large-scale future damage to Arctic
infrastructure, improved strategies for model-based approaches are urgently
needed. We used the laterally coupled 1D heat conduction model CryoGrid3
to simulate permafrost degradation affected by linear infrastructure. We
present a case study of a gravel road built on continuous permafrost (Dalton
highway, Alaska) and forced our model under historical and strong future
warming conditions (following the RCP8.5 scenario). As expected, the presence
of a gravel road in the model leads to higher net heat flux entering the
ground compared to a reference run without infrastructure and thus a higher
rate of thaw. Further, our results suggest that road failure is likely a
consequence of lateral destabilisation due to talik formation in the ground
beside the road rather than a direct consequence of a top-down thawing and
deepening of the active layer below the road centre. In line with previous
studies, we identify enhanced snow accumulation and ponding (both a
consequence of infrastructure presence) as key factors for increased soil
temperatures and road degradation. Using differing horizontal model
resolutions we show that it is possible to capture these key factors and their
impact on thawing dynamics with a low number of lateral model units,
underlining the potential of our model approach for use in pan-Arctic risk
assessments. Our results suggest a general two-phase behaviour of permafrost degradation:
an initial phase of slow and gradual thaw, followed by a strong increase in
thawing rates after the exceedance of a critical ground warming. The timing of
this transition and the magnitude of thaw rate acceleration differ strongly
between undisturbed tundra and infrastructure-affected permafrost ground. Our
model results suggest that current model-based approaches which do not
explicitly take into account infrastructure in their designs are likely to
strongly underestimate the timing of future Arctic infrastructure failure. By using a laterally coupled 1D model to simulate linear
infrastructure, we infer results in line with outcomes from more complex 2D
and 3D models, but our model's computational efficiency allows us to account
for long-term climate change impacts on infrastructure from permafrost
degradation. Our model simulations underline that it is crucial to consider
climate warming when planning and constructing infrastructure on permafrost as
a transition from a stable to a highly unstable state can well occur within
the service lifetime (about 30 years) of such a construction. Such a
transition can even be triggered in the coming decade by climate change for
infrastructure built on high northern latitude continuous permafrost that
displays cold and relatively stable conditions today.
","","The Cryosphere","1","10.5194/tc-15-2451-2021","https://consensus.app/papers/consequences-of-permafrost-degradation-for-arctic-deimling-lee/eda64c9e7d9f5086befa1cf163e62698/"
"Deterioration models for geotechnical slopes: a systematic review on the long-term behaviour of earthwork assets","Understanding geotechnical asset deterioration mechanisms is crucial for effective asset management and proactive maintenance, with limited comprehensive deterioration models for earthwork slopes.","R. Marín, M. Long",2024,2,"Deteriorating infrastructure slopes have significant implications for infrastructure management, as their performance and long-term behaviour can impact travel, costs, safety, and operational efficiency. Understanding the long-term behaviour and performance of geotechnical assets is crucial for effective asset management and proactive maintenance. This systematic review examines existing research on deterioration models to identify methodologies, monitoring techniques, and data collection approaches employed to analyse the behaviour of geotechnical assets over time. The review emphasizes the importance of understanding asset deterioration mechanisms, particularly those influenced by weathering, and their impact on the overall performance and long-term behaviour of geotechnical assets. By consolidating knowledge from the scientific literature, this study highlights the limited availability of comprehensive deterioration models for earthwork slopes but identifies a growing interest in studying factors and mechanisms that contribute to understanding long-term asset behaviour. The review underscores the significance of monitoring, instrumentation, and data collection to enhance our understanding of geotechnical asset deterioration and improve predictive capabilities. Additionally, a proposed framework is introduced for long-term analysis of geotechnical assets, advocating combining lab and field tests for precise soil characterization and developing deterioration models. This systematic review deepens the understanding of asset deterioration mechanisms and aids in decision-making for infrastructure resilience.","systematic review","Structure and Infrastructure Engineering","1","10.1080/15732479.2024.2344662","https://consensus.app/papers/deterioration-models-for-geotechnical-slopes-a-mar%C3%ADn-long/710f3acb77395ae1be5ead34ab1898dd/"
"Stochastic degradation model analysis for prestressed concrete bridges","This research develops Markov chain degradation models for prestressed concrete bridges, aiding in cost-effective and efficient maintenance decisions for road infrastructure.","L. F. Rincón, Yina F. Muñoz Moscoso, J. Matos, Stefan Leonardo Leiva Maldonado",2022,0,"Bridges in the road infrastructure represent a critical and strategic asset, due to their functionality, is vital for the economic and social development of the countries. Currently, approximately 50% of construction industry expenditures in most developed countries are associated with repairs, maintenance, and rehabilitation of existing structures, and are expected to increase in the future. In this sense, it is necessary to monitor the behaviour of bridges and obtain indicators that represent the evolution of the state of service over time.Therefore, degradation models play a crucial role in determining asset performance that will define cost-effective and efficient planned maintenance solutions to ensure continuous and correct operation. Of these models, Markov chains stand out for being stochastic models that consider the uncertainty of complex phenomena and are the most used for structures in general due to their practicality, easy implementation, and compatibility. In this context, this research develops degradation models of a database of 414 prestressed concrete bridges continuously monitored from 2000 to 2016 in the state of Indiana, USA. Degradation models were developed from a rating system of the state of the deck, the superstructure, and the substructure. Finally, the database is identified and divided from cluster analysis, into classes that share similar deterioration trends to obtain a more accurate prediction that can facilitate the decision processes of bridge management systems.","","IABSE Symposium, Prague 2022: Challenges for Existing and Oncoming Structures","","10.2749/prague.2022.1092","https://consensus.app/papers/stochastic-degradation-model-analysis-for-prestressed-rinc%C3%B3n-moscoso/b54660250b0952a3a38e29e2a14a45a8/"
"Degradation modelling of railway infrastructure","The Wiener process with linear drift model effectively simulates railway track degradation, considering explanatory variables and uncertainty in the development of degradation for different sections along the tracks.","E. Laskowska, J. Vatn",2021,0,"In this paper the Wiener process with linear drift is proposed as a degradation model for the railway substructure. The model is based on the empirical data describing loss of tracks quality over the distance of one kilometre. The impact of explanatory variables on tracks degradation is investigated. The Bayesian framework is applied to examine uncertainty in the development of degradation for different sections along the tracks.","","","","10.2749/christchurch.2021.0935","https://consensus.app/papers/degradation-modelling-of-railway-infrastructure-laskowska-vatn/7db626fd8bea5130a381224de55bbd04/"
"Reliability and Life-Cycle Analysis of Deteriorating Systems","Modern engineering system degradation models and life-cycle analysis play a crucial role in making informed engineering decisions, particularly for large infrastructure systems.","M. Sánchez-Silva, G. Klutke",2015,96,"This book compiles and critically discusses modern engineering system degradation models and their impact on engineering decisions. In particular, the authors focus on modeling the uncertain nature of degradation considering both conceptual discussions and formal mathematical formulations. It also describes the basics concepts and the various modeling aspects of life-cycle analysis (LCA).  It highlights the role of degradation in LCA and defines optimum design and operation parameters. Given the relationship between operational decisions and the performance of the system’s condition over time, maintenance models are also discussed. The concepts and models presented have applications in a large variety of engineering fields such as Civil, Environmental, Industrial, Electrical and Mechanical engineering. However, special emphasis is given to problems related to large infrastructure systems. The book is intended to be used both as a reference resource for researchers and practitioners and as an academic text for courses related to risk and reliability, infrastructure performance modeling and life-cycle assessment.","","","","10.1007/978-3-319-20946-3","https://consensus.app/papers/reliability-and-lifecycle-analysis-of-deteriorating-s%C3%A1nchez-silva-klutke/db0770704e8056ba95857277ebd8b2ab/"
"Root Causing Prediction Anomalies Using Explainable AI","Explainable AI (XAI) effectively identifies root causes of prediction anomalies in machine learning models, improving the reliability of personalized advertising models.","R. Vishnampet, Rajesh Shenoy, Jianhui Chen, Anuj Gupta",2024,1,"This paper presents a novel application of explainable AI (XAI) for root-causing performance degradation in machine learning models that learn continuously from user engagement data. In such systems a single feature corruption can cause cascading feature, label and concept drifts. We have successfully applied this technique to improve the reliability of models used in personalized advertising. Performance degradation in such systems manifest as prediction anomalies in the models. These models are typically trained continuously using features that are produced by hundreds of real time data processing pipelines or derived from other upstream models. A failure in any of these pipelines or an instability in any of the upstream models can cause feature corruption, causing the model's predicted output to deviate from the actual output and the training data to become corrupted. The causal relationship between the features and the predicted output is complex, and root-causing is challenging due to the scale and dynamism of the system. We demonstrate how temporal shifts in the global feature importance distribution can effectively isolate the cause of a prediction anomaly, with better recall than model-to-feature correlation methods. The technique appears to be effective even when approximating the local feature importance using a simple perturbation-based method, and aggregating over a few thousand examples. We have found this technique to be a model-agnostic, cheap and effective way to monitor complex data pipelines in production and have deployed a system for continuously analyzing the global feature importance distribution of continuously trained models.","","ArXiv","","10.48550/arxiv.2403.02439","https://consensus.app/papers/root-causing-prediction-anomalies-using-explainable-ai-vishnampet-shenoy/0abe38be49755cc098dee8f6e43170ee/"
"Artificial intelligence for the modeling of water pipes deterioration mechanisms","Artificial intelligence techniques can effectively model and assess water pipe deterioration in urban water systems, providing valuable insights for future research directions.","T. Dawood, E. Elwakil, H. Novoa, J. Delgado",2020,59,"","literature review","Automation in Construction","1","10.1016/j.autcon.2020.103398","https://consensus.app/papers/artificial-intelligence-for-the-modeling-of-water-pipes-dawood-elwakil/71e3bab50e1c569b9a37883f7f274f25/"
"From Concept Drift to Model Degradation: An Overview on Performance-Aware Drift Detectors","Performance-based concept drift detection methods can effectively identify and address concept drift in real-world systems, improving predictive machine learning models' performance.","Firas Bayram, Bestoun S. Ahmed, A. Kassler",2022,290,"The dynamicity of real-world systems poses a significant challenge to deployed predictive machine learning (ML) models. Changes in the system on which the ML model has been trained may lead to performance degradation during the system's life cycle. Recent advances that study non-stationary environments have mainly focused on identifying and addressing such changes caused by a phenomenon called concept drift. Different terms have been used in the literature to refer to the same type of concept drift and the same term for various types. This lack of unified terminology is set out to create confusion on distinguishing between different concept drift variants. In this paper, we start by grouping concept drift types by their mathematical definitions and survey the different terms used in the literature to build a consolidated taxonomy of the field. We also review and classify performance-based concept drift detection methods proposed in the last decade. These methods utilize the predictive model's performance degradation to signal substantial changes in the systems. The classification is outlined in a hierarchical diagram to provide an orderly navigation between the methods. We present a comprehensive analysis of the main attributes and strategies for tracking and evaluating the model's performance in the predictive system. The paper concludes by discussing open research challenges and possible research directions.","literature review","Knowl. Based Syst.","1","10.48550/arxiv.2203.11070","https://consensus.app/papers/from-concept-drift-to-model-degradation-an-overview-on-bayram-ahmed/ebc028b7889357969657d53d50ac6d12/"
"Modeling Infrastructure Performance and User Costs","This paper develops an integrated performance and user-cost model system, incorporating user costs into the performance-deterioration prediction of infrastructure facilities.","M. Ben-Akiva, Dinesh Gopinath",1995,67,"An infrastructure-performance-deterioration model predicts the performance of infrastructure facilities such as bridges, railroad, and highways as a function of explanatory variables such as inherent infrastructure characteristics (material properties, construction quality), ambient climate, usage of the facility, etc. However, there is no unambiguous approach to measuring directly the performance of the facility, and hence we consider performance to be unobservable (latent). The problem of developing performance-deterioration models includes the definition of the aforementioned unobservable performance in terms of the measurable distress measures of the facility, and simultaneously relating the performance to the explanatory variables. In this paper, we extend previous research to include user costs (costs accruing to the users of the infrastructure facility) in the modeling framework. Hence, an integrated performance and user-cost model system is developed, and a case study is conducted on a highway exa...","","Journal of Infrastructure Systems","2","10.1061/(asce)1076-0342(1995)1:1(33)","https://consensus.app/papers/modeling-infrastructure-performance-and-user-costs-ben-akiva-gopinath/dc9d970e778e56fba41080711f494c61/"
"AN ELECTRICAL INFRASTRUCTURE MANAGEMENT MODEL FOR LONG-TERM MAINTENANCE AND HAZARD MITIGATION","An electrical infrastructure management model can identify components at high risk of failure, guiding maintenance operations and estimating long-term line performance.","Nathaniel M. Levine, Kristen Hollingsworth, Yingjie Wu, Morgan Griffith, Brian Mcdonald",2023,0,"Electrical lines are critical infrastructure components. Line failures can cause catastrophic wildfires resulting in immeasurable damage to life and property. This paper discusses the implementation of an electrical infrastructure management model that tracks component degradation over time and incorporates inspection and monitoring data to update the model; the model then identifies components with the highest risk of failure to direct maintenance operations and estimate long-term line performance. The capacity of the structures is represented through fragility curves based on first-principles modeling and industry standards. Threat models, such as metal corrosion and wood decay, estimate how the fragility curve will evolve with time, based on environmental data and the age of the structure. Data-driven approaches are used to incorporate field data and historical performance into the model. Bayesian updating is used to adjust the fragility curves based on historical wind and outage data. Similarly, observed deterioration from field condition inspections are applied to further modify the model. Using a site-specific hazard model, an annualized probability of failure is estimated for each structure on an electrical line. First, an overview of the framework is provided, with a specific focus on wind hazards. To illustrate the application of the model and illustrate the challenges encountered in implementation, an example case study is discussed, exploring how the predicted probabilities of failure can be impacted by the choice of wind hazard model. This choice can result in geographic bias towards both under- and over-predicting probability of failure, and therefore can result in misdirection of maintenance resources. Future planned improvements are discussed.","","Proceedings of the 14th International Workshop on Structural Health Monitoring","","10.12783/shm2023/36750","https://consensus.app/papers/an-electrical-infrastructure-management-model-for-levine-hollingsworth/692add0333c751da976700f042083209/"
"A Review of Pavement Performance Deterioration Modeling: Influencing Factors and Techniques","Pavement deterioration modeling focuses on traffic loading and environmental stressors, with machine learning increasingly being used to enhance robustness, scalability, and transparency in pavement management strategies.","Benjamin G. Famewo, M. Shokouhian",2025,1,"Accurate modeling of pavement performance is vital to maintaining safe, reliable, and sustainable transportation infrastructure. This review synthesizes current approaches to pavement deterioration modeling, with emphasis on key influencing factors, performance indicators, and methodologies employed within Pavement Management Systems (PMS). Primary deterioration drivers, including traffic loading and environmental stressors, are analyzed for their impact on degradation patterns. Performance indicators such as the Pavement Surface Evaluation and Rating (PASER), Pavement Condition Index (PCI), and International Roughness Index (IRI) are evaluated for their effectiveness in capturing pavement condition and guiding maintenance decisions. Modeling techniques are broadly categorized into deterministic, probabilistic, and intelligent (machine learning–based) frameworks to illustrate the evolution of predictive approaches. Across these approaches, the notion of symmetry can be interpreted as the balance and consistency achieved between model assumptions, input variables, and predicted pavement behavior, while asymmetry represents deviations caused by uncertainty, variability, and nonlinearity inherent in real-world conditions. Recognizing these symmetrical and asymmetrical relationships helps unify different modeling paradigms and provides insight into how each framework handles equilibrium between accuracy, complexity, and interpretability. The review also highlights persistent challenges in data availability, quality, and standardization. Notably, the increasing adoption of machine learning reflects its capacity to handle high-dimensional and spatiotemporal datasets. Recommendations are proposed to improve the robustness, scalability, and transparency of future deterioration models, thereby enhancing their role in data-driven, resilient, and cost-effective pavement management strategies.","literature review","Symmetry","2","10.3390/sym17111992","https://consensus.app/papers/a-review-of-pavement-performance-deterioration-modeling-famewo-shokouhian/8780bcf36c2051eba99d0b560e1a4784/"
"Are Industrial ML Image Classifiers Robust to Data Affected by Network QoS Degradation?","Industrial ML image classifiers can be significantly affected by network QoS degradation, with even slight packet loss affecting classification performance.","Raman Zatsarenko, Chirayu Anil Marathe, Sergei Chuprov, Matthew Hyland, Leon Reznik",2023,2,"In industrial applications, Machine Learning (ML) services are often deployed on cloud infrastructure and require a transfer of the input data over a network, which is susceptible to Quality of Service (QoS) degradation. In this paper we investigate the robustness of industrial ML classifiers towards varying Data Quality (DQ) due to degradation in network QoS. We define the robustness of an ML model as the ability to maintain a certain level of performance under variable levels of DQ at its input. We employ the classification accuracy as the performance metric for the ML classifiers studied. The POWDER testbed is utilized to create an experimental setup consisting of a real-world wireless network connecting two nodes. We transfer multiple video and image files between the two nodes under varying degrees of packet loss and varying buffer sizes to create degraded data. We then evaluate the performance of AWS Rekognition, a commercial ML tool for on-demand object detection, on corrupted video and image data. We also evaluate the performance of YOLOv7 to compare the performance of a commercial and an open-source model. As a result we demonstrate that even a slight degree of packet loss, 1% for images and 0.2% for videos, can have a drastic impact on the classification performance of the system. We discuss the possible ways to make industrial ML systems more robust to network QoS degradation.","","2023 IEEE Western New York Image and Signal Processing Workshop (WNYISPW)","","10.1109/wnyispw60588.2023.10349560","https://consensus.app/papers/are-industrial-ml-image-classifiers-robust-to-data-zatsarenko-marathe/8352fb56cd545d5cb17a2921373b4538/"
